Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,True Amount,Amount in dz,Local,Vendor,VendorAddress
Hormel Black Label Thick Cut Bacon,7.69,7.69,1.0,16 oz Packet,,,,,,Hyvee,,,True,,
Hormel Black Label Fully Cooked Original Thick Cut Bacon,4.48,4.48,0.1575,2.52 oz,,,,,,Hyvee,,,True,,
Applegate Naturals Uncured Sunday Bacon Hickory Smoked,6.99,6.99,0.5,8 oz,,,,,,Hyvee,,,True,,
Hy-Vee Double Smoked Thick Sliced Bacon,4.89,4.99,1.0,16 oz,,,,,,Hyvee,,,False,,
Applegate Naturals No Sugar Uncured Bacon Hickory Smoked,6.99,6.99,0.5,8 oz,,,,,,Hyvee,,,True,,
Hy-Vee Sweet Smoked Bacon,4.89,4.99,1.0,16 oz Package,,,,,,Hyvee,,,False,,1214 NW 21st Ave Portland OR 97209
Hormel Black Label Original Bacon,7.69,7.69,1.0,16 oz Pack,,,,,,Hyvee,,,True,,
Jimmy Dean Premium Hickory Smoked Bacon,6.49,6.49,0.75,12 oz Package,,,,,,Hyvee,,,False,,Hickory Rd Premium KY 41845
"Farmland Bacon, Double Smoked, Double Thick Cut",4.99,7.49,0.75,12 oz,,,,,,Hyvee,,,True,,
Hormel Black Label Center Cut Bacon,7.69,7.69,0.75,12 oz Pack,,,,,,Hyvee,,,True,,
Hy-Vee Center Cut Bacon,4.89,4.99,0.75,12 oz,,,,,,Hyvee,,,True,,802 S Center St Marshalltown IA 50158
Country Smokehouse Thick Applewood Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,False,,115 W 5th St Grafton ND 58237
Hormel Black Label Original Bacon,4.79,4.99,0.75,12 oz Package,,,,,,Hyvee,,,True,,
Farmland Naturally Hickory Smoked Classic Cut Bacon,4.99,7.49,1.0,16 oz,,,,,,Hyvee,,,True,,
Jimmy Dean Premium Applewood Smoked Bacon,6.49,6.49,0.75,12  oz,,,,,,Hyvee,,,False,, Denver CO 80215
