Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,Address,Local,Vendor,VendorAddress,True Amount,Amount in dz
"Bolthouse Farms Carrots, Baby Cut 1 Lb",1.59,1.59,1,1 lb,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,13475 Spruce Ave Grant MI 49327,,
"Bolthouse Farms Carrots, Premium 908 G",2.59,2.59,,,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7330 Santa Fe Dr Hodgkins IL 60525,,
"Bolthouse Farms Carrots, Premium, Sweet Petites 12 Oz",2.79,2.79,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7330 Santa Fe Dr Hodgkins IL 60525,,
"Bolthouse Farms Carrots, Premium 16 Oz",1.19,1.19,1.0,16 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7330 Santa Fe Dr Hodgkins IL 60525,,
"Bolthouse Farms Carrots, Baby Cut 2 Lb",2.99,2.99,2,2lb bag,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,7200 E Brundage Ln Bakersfield CA 93307,,
"Bolthouse Farms Carrots, Cooking, French Cut, Premium Matchstix 10 Oz",2.29,2.29,0.625,10 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,, French Farm Canterbury ,,
"Bolthouse Farms Carrot Sticks, Premium 12 Oz",2.79,2.79,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,12 Stocks Road Tring ENG HP23 5RU,,
Best Choice Fancy Sliced Carrots,1.19,1.19,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
Always Save Sliced Carrots,0.99,0.99,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,1417 Spruce St Leavenworth KS 66048,,
"Libby's Carrots, Sliced 14.5 Oz",1.29,1.49,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,14 E Libby St Phoenix AZ 85022,,
Del Monte Fresh Cut Sliced Carrots 14.5 Oz Can,1.49,2.19,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,, San Jose del Monte Central Luzon ,,
Best Choice Steam Cut Carrots,1.99,2.39,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
Best Choice Steam Peas & Carrots,1.99,2.39,0.75,12 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,,,
Best Choice Peas & Sliced Carrots,1.19,1.19,0.9375,15 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,161 Pine Ln Harrison Twp PA 15550,,
"Birds Eye Whole Grain Rice, With Corn, Carrots & Peas 10 Oz",1.79,2.69,0.625,10 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,,New Square Feltham England TW14 8,,
Del Monte Peas & Carrots 14.5 Oz,2.29,2.29,0.90625,14.5 oz,,,IA,Glenwood,51534,Russ Market,900 South Locust Street,False,, San Jose del Monte Central Luzon ,,
